acceleration - x: -0.990386962890625, y: 0.0491180419921875, z: -0.091461181640625
acceleration - x: -0.9911041259765625, y: 0.058807373046875, z: -0.097137451171875
acceleration - x: -0.9862213134765625, y: 0.0581207275390625, z: -0.0992584228515625
acceleration - x: -0.9864959716796875, y: 0.0489501953125, z: -0.095977783203125
acceleration - x: -0.9912261962890625, y: 0.044189453125, z: -0.097381591796875
acceleration - x: -0.9857635498046875, y: 0.0489959716796875, z: -0.0947113037109375
acceleration - x: -0.9904327392578125, y: 0.0537872314453125, z: -0.095916748046875
acceleration - x: -0.9873199462890625, y: 0.0450592041015625, z: -0.0928497314453125
acceleration - x: -0.9879150390625, y: 0.044189453125, z: -0.0909576416015625
acceleration - x: -0.9916534423828125, y: 0.0664520263671875, z: -0.095428466796875
acceleration - x: -0.9826202392578125, y: 0.0467987060546875, z: -0.10272216796875
acceleration - x: -0.9849853515625, y: 0.0412750244140625, z: -0.1005401611328125
acceleration - x: -0.9950408935546875, y: 0.0519561767578125, z: -0.1072235107421875
acceleration - x: -0.9853057861328125, y: 0.0485992431640625, z: -0.0997772216796875
acceleration - x: -0.983612060546875, y: 0.0410003662109375, z: -0.0955810546875
acceleration - x: -0.99127197265625, y: 0.0506591796875, z: -0.0977783203125
acceleration - x: -0.991119384765625, y: 0.0510711669921875, z: -0.0999298095703125
acceleration - x: -0.9776153564453125, y: 0.0577545166015625, z: -0.101776123046875
acceleration - x: -0.980133056640625, y: 0.0605316162109375, z: -0.105804443359375
session state change to: 3 from 2
