session state change to: 2 from 1
acceleration - x: -0.8509063720703125, y: 0.17889404296875, z: 0.38836669921875
acceleration - x: -0.823699951171875, y: 0.21368408203125, z: 0.3114776611328125
acceleration - x: -0.8355560302734375, y: 0.2729034423828125, z: 0.252197265625
acceleration - x: -0.8529052734375, y: 0.3370361328125, z: 0.2043609619140625
acceleration - x: -0.8529052734375, y: 0.3370361328125, z: 0.2043609619140625
acceleration - x: -0.832733154296875, y: 0.4157867431640625, z: 0.0272369384765625
acceleration - x: -0.8051300048828125, y: 0.460113525390625, z: -0.135406494140625
acceleration - x: -0.83251953125, y: 0.581939697265625, z: -0.1851654052734375
acceleration - x: -0.832244873046875, y: 0.679473876953125, z: -0.1655731201171875
acceleration - x: -0.757476806640625, y: 0.635467529296875, z: -0.0308837890625
acceleration - x: -0.6958465576171875, y: 0.4180145263671875, z: 0.0443115234375
acceleration - x: -0.6818084716796875, y: 0.209320068359375, z: -0.0598907470703125
acceleration - x: -0.6412200927734375, y: 0.233551025390625, z: -0.4306182861328125
acceleration - x: -0.548065185546875, y: 0.47344970703125, z: -0.4629669189453125
acceleration - x: -0.536102294921875, y: 0.6348419189453125, z: -0.3814239501953125
acceleration - x: -0.53680419921875, y: 0.5059661865234375, z: -0.244110107421875
acceleration - x: -0.5023040771484375, y: 0.1964111328125, z: -0.150726318359375
acceleration - x: -0.4569549560546875, y: 0.0531768798828125, z: -0.5099029541015625
acceleration - x: -0.3444976806640625, y: 0.342926025390625, z: -0.9842681884765625
acceleration - x: -0.2064208984375, y: 0.7664337158203125, z: -0.932830810546875
acceleration - x: -0.2463531494140625, y: 0.785858154296875, z: -0.7200164794921875
acceleration - x: -0.30938720703125, y: 0.3700408935546875, z: -0.473602294921875
acceleration - x: -0.23553466796875, y: 0.0214691162109375, z: -0.3123779296875
acceleration - x: -0.1162872314453125, y: -0.016510009765625, z: -0.595306396484375
acceleration - x: 0.0433502197265625, y: 0.4583892822265625, z: -1.480255126953125
acceleration - x: 0.1563873291015625, y: 1.0539703369140625, z: -1.4395599365234375
acceleration - x: 0.0132904052734375, y: 1.2338104248046875, z: -1.278961181640625
acceleration - x: -0.1432342529296875, y: 0.7495574951171875, z: -0.9935302734375
acceleration - x: -0.052215576171875, y: 0.2634735107421875, z: -0.7522125244140625
acceleration - x: 0.0974273681640625, y: 0.061767578125, z: -0.7420501708984375
acceleration - x: 0.2093963623046875, y: 0.185302734375, z: -0.8564910888671875
acceleration - x: 0.1912994384765625, y: 0.545379638671875, z: -1.0016021728515625
acceleration - x: 0.10723876953125, y: 0.9798126220703125, z: -1.2068023681640625
acceleration - x: 0.087860107421875, y: 1.22357177734375, z: -1.285064697265625
acceleration - x: 0.15283203125, y: 1.162322998046875, z: -1.26507568359375
acceleration - x: 0.1795501708984375, y: 1.0184783935546875, z: -1.195159912109375
acceleration - x: 0.1787567138671875, y: 1.0394439697265625, z: -1.154022216796875
acceleration - x: 0.1495361328125, y: 0.7438507080078125, z: -1.0374908447265625
acceleration - x: 0.0611419677734375, y: 0.5783843994140625, z: -0.98455810546875
acceleration - x: 0.0506744384765625, y: 0.6714019775390625, z: -1.067626953125
acceleration - x: 0.052825927734375, y: 0.803863525390625, z: -1.0636138916015625
acceleration - x: 0.0324859619140625, y: 0.789886474609375, z: -0.895050048828125
acceleration - x: 0.0330810546875, y: 0.7700347900390625, z: -0.861785888671875
acceleration - x: 0.0174713134765625, y: 0.864593505859375, z: -1.0404510498046875
acceleration - x: -0.0673828125, y: 0.81011962890625, z: -0.8809356689453125
acceleration - x: -0.1132659912109375, y: 0.649200439453125, z: -0.892608642578125
acceleration - x: -0.09698486328125, y: 0.655670166015625, z: -0.943206787109375
acceleration - x: -0.0978240966796875, y: 0.8065338134765625, z: -0.942108154296875
acceleration - x: -0.1324462890625, y: 0.840911865234375, z: -0.86700439453125
acceleration - x: -0.1813201904296875, y: 0.7198486328125, z: -0.818115234375
acceleration - x: -0.177154541015625, y: 0.634185791015625, z: -0.75299072265625
acceleration - x: -0.177154541015625, y: 0.634185791015625, z: -0.75299072265625
acceleration - x: -0.192413330078125, y: 0.6277923583984375, z: -0.6305999755859375
acceleration - x: -0.23272705078125, y: 0.5663909912109375, z: -0.5439300537109375
acceleration - x: -0.35247802734375, y: 0.5150299072265625, z: -0.568878173828125
acceleration - x: -0.35247802734375, y: 0.5150299072265625, z: -0.568878173828125
acceleration - x: -0.400848388671875, y: 0.54736328125, z: -0.5312652587890625
acceleration - x: -0.50543212890625, y: 0.4974365234375, z: -0.37384033203125
acceleration - x: -0.5508575439453125, y: 0.4041900634765625, z: -0.3291168212890625
acceleration - x: -0.5508575439453125, y: 0.4041900634765625, z: -0.3291168212890625
acceleration - x: -0.6191558837890625, y: 0.266143798828125, z: -0.1541595458984375
acceleration - x: -0.67059326171875, y: 0.260406494140625, z: -0.1284332275390625
acceleration - x: -0.7303924560546875, y: 0.2478790283203125, z: -0.05780029296875
acceleration - x: -0.80902099609375, y: 0.241729736328125, z: -0.0190582275390625
acceleration - x: -0.82427978515625, y: 0.2179107666015625, z: 0.0178070068359375
acceleration - x: -0.796112060546875, y: 0.178497314453125, z: 0.068084716796875
acceleration - x: -0.8052215576171875, y: 0.1055755615234375, z: 0.16900634765625
acceleration - x: -0.8516693115234375, y: 0.020416259765625, z: 0.316375732421875
acceleration - x: -0.90472412109375, y: -0.09283447265625, z: 0.3977813720703125
acceleration - x: -0.9034881591796875, y: -0.147918701171875, z: 0.3985748291015625
acceleration - x: -0.8780975341796875, y: -0.1295318603515625, z: 0.35784912109375
acceleration - x: -0.90155029296875, y: -0.04998779296875, z: 0.343536376953125
acceleration - x: -0.949554443359375, y: -0.0175018310546875, z: 0.3537445068359375
acceleration - x: -0.925323486328125, y: 0.023651123046875, z: 0.4389495849609375
acceleration - x: -0.8989105224609375, y: 0.0300140380859375, z: 0.492584228515625
